precinct_number,precinct_objectid,tract_geoid
7000003,1,17031804202
7000005,2,17031804201
7000002,3,17031804202
7000006,4,17031804201
7000001,5,17031804202
7000010,6,17031804202
7000008,7,17031804201
7000011,8,17031804201
7000007,9,17031804201
7000009,10,17031804201
7000004,11,17031804201
9908003,12,17031814600
9908001,13,17031814700
9908002,14,17031814600
9907004,15,17031814700
9906001,16,17031815000
9907001,17,17031814800
9906004,18,17031814900
9906003,19,17031814900
9906002,20,17031814900
9905001,21,17031815000
9907003,22,17031814800
9903001,23,17031814800
9903003,24,17031815300
9904004,25,17031815100
9907002,26,17031814800
9904003,27,17031815100
9903004,28,17031815300
9905003,29,17031815100
9904002,30,17031815200
9903002,31,17031815300
9903005,32,17031815400
9904001,33,17031815200
9902001,34,17031815200
9901004,35,17031815400
9901001,36,17031815400
9901005,37,17031815400
9901002,38,17031815500
9905002,39,17031814600
9902004,40,17031815200
9901003,41,17031815500
9902003,42,17031815500
9902002,43,17031815500
7100001,44,17031828801
7100020,45,17031828601
7100033,46,17031828701
7100048,47,17031828602
7100045,48,17031828701
7100030,49,17031828602
7100024,50,17031828702
7100058,51,17031828601
7100019,52,17031828602
7100034,53,17031828602
7100042,54,17031828801
7100059,56,17031828801
7100057,57,17031828802
7100050,58,17031828801
7100047,59,17031828601
7100040,60,17031828602
7100055,61,17031828504
7100010,62,17031829700
7100041,63,17031828506
7100014,64,17031828505
7100005,65,17031828505
7100044,66,17031828505
7100036,67,17031828506
7100002,68,17031828601
7100038,69,17031828505
7100018,70,17031828505
7100022,71,17031828506
7100021,72,17031829700
7100029,74,17031829700
7100037,75,17031828702
7100060,76,17031828702
7100006,77,17031829700
7100054,79,17031828900
7100039,80,17031829000
7100061,81,17031829200
7100031,82,17031829301
7100004,84,17031829302
7100025,85,17031829200
7100051,86,17031829302
7100017,87,17031829402
7100052,88,17031829401
7100046,89,17031829100
7100013,90,17031829402
7100008,92,17031829600
7100011,93,17031829600
7100023,94,17031828503
7100027,95,17031828503
7100026,96,17031828504
7100032,97,17031828504
7100007,98,17031829700
7100053,99,17031828504
7100043,100,17031828506
7100016,101,17031828506
7100056,102,17031828802
7100049,103,17031828702
7200053,104,17031824601
7200050,105,17031824506
7200072,106,17031824506
7200058,107,17031824506
7200079,108,17031824505
7200036,109,17031824506
7200076,110,17031824506
7200054,111,17031824601
7200003,112,17031825505
7200042,113,17031824602
7200018,114,17031825000
7200062,115,17031825000
7200020,116,17031824505
7200077,117,17031825400
7200034,118,17031825303
7200067,119,17031825400
7200057,120,17031825400
7200022,121,17031825302
7200009,122,17031825303
7200073,123,17031825303
7200059,124,17031824507
7200046,125,17031824505
7200027,126,17031824505
7200033,127,17031824507
7200069,128,17031824507
7200049,129,17031825503
7200074,130,17031825200
7200024,131,17031825302
7200071,132,17031825501
7200064,133,17031824506
7200011,134,17031824503
7200048,135,17031825501
7200051,136,17031825503
7200026,137,17031825503
7200075,138,17031825503
7200032,139,17031825503
7200029,140,17031825505
7200080,141,17031825505
7200040,142,17031825505
7200070,143,17031825505
7200063,144,17031825504
7200056,145,17031825501
7200068,146,17031824503
7200021,147,17031825600
7200015,148,17031824702
7200006,149,17031824702
7200043,150,17031824800
7200045,151,17031824800
7200060,152,17031824503
7200016,153,17031824503
7200025,154,17031824601
7200030,155,17031824601
7200004,156,17031824602
7200005,157,17031824701
7200028,158,17031824701
7200052,159,17031824702
7200061,160,17031825000
7200012,161,17031824900
7200066,162,17031825503
7200035,163,17031825600
7200007,164,17031825600
7200044,165,17031824900
7200038,166,17031825600
7200039,167,17031825600
7200055,168,17031824800
7200014,169,17031824800
7200065,170,17031824300
7200019,171,17031824300
7200013,172,17031824400
7200023,173,17031824400
7200001,174,17031824300
7200037,175,17031824300
7200017,176,17031824300
7200002,177,17031825302
7200010,178,17031825000
7200041,179,17031824702
7200047,180,17031825501
7200008,181,17031825504
7200078,182,17031825501
7200031,183,17031825501
7300011,184,17031821402
7300007,185,17031821300
7300008,186,17031821300
7300001,187,17031821300
7300002,188,17031821200
7300010,189,17031821402
7300012,190,17031821401
7300005,191,17031821401
7300009,192,17031821402
7300006,193,17031821200
7300003,194,17031821200
7300004,195,17031821500
9800015,196,17031813500
9800016,197,17031813400
9800017,198,17031813400
9800021,199,17031813500
9800002,200,17031813302
9800024,201,17031813600
9800031,202,17031814000
9800027,203,17031813500
9800023,204,17031813400
9800003,205,17031813900
9800030,206,17031814100
9800007,207,17031813701
9800009,208,17031813702
9800004,209,17031813801
9800029,210,17031814200
9800018,211,17031813900
9800028,212,17031814100
9800022,213,17031814100
9800012,214,17031814500
9800014,215,17031814400
9800010,216,17031814300
9800025,217,17031814300
9800032,218,17031814200
9800026,219,17031814200
9800005,220,17031814500
9800008,221,17031813802
9800006,222,17031814200
9800011,223,17031814400
9800013,224,17031814400
9800020,225,17031814400
9800001,226,17031813302
9800019,227,17031814100
7400033,228,17031770300
7400029,229,17031770202
7400020,230,17031770300
7400013,231,17031770300
7400009,232,17031770202
7400043,233,17031770202
7400004,234,17031770400
7400003,235,17031770300
7400018,236,17031770300
7400040,237,17031770300
7400032,238,17031805002
7400037,239,17031804902
7400035,240,17031805107
7400021,241,17031805108
7400038,242,17031805111
7400031,243,17031805112
7400015,244,17031805111
7400049,245,17031805112
7400023,246,17031804902
7400030,247,17031804902
7400034,248,17031804901
7400010,249,17031805001
7400025,250,17031805001
7400011,251,17031805001
7400026,252,17031805002
7400039,253,17031805002
7400014,254,17031805106
7400052,255,17031805105
7400028,256,17031805105
7400041,257,17031805110
7400048,258,17031805110
7400006,259,17031805110
7400001,260,17031804901
7400022,261,17031805108
7400007,262,17031804901
7400046,263,17031805106
7400019,264,17031805109
7400042,265,17031805107
7400008,266,17031805110
7400044,267,17031805110
7400016,268,17031804902
7400005,269,17031804901
7400024,270,17031805111
7400002,271,17031770201
7400045,272,17031770201
7400027,273,17031805109
7400036,274,17031770500
7400017,275,17031770300
7400012,276,17031770201
7400047,277,17031770202
7400051,278,17031770202
7400050,279,17031805108
7507002,280,17031808800
7507004,281,17031809100
7508001,282,17031810301
7509002,283,17031810301
7506006,284,17031809000
7505004,285,17031809200
7503006,286,17031810000
7503001,287,17031809900
7509003,288,17031810100
7509001,289,17031810100
7509005,290,17031810302
7509006,291,17031810100
7508003,292,17031810200
7503007,293,17031810000
7503005,294,17031810000
7503003,295,17031810000
7503004,296,17031809400
7502003,297,17031809600
7504001,298,17031809800
7501002,299,17031808702
7509004,300,17031810302
7502005,301,17031810301
7508004,302,17031810200
7505001,303,17031809200
7508002,304,17031810200
7503002,305,17031809900
7505003,306,17031809200
7505002,307,17031809300
7507003,308,17031808702
7504004,309,17031809600
7504002,310,17031809800
7501004,311,17031809400
7504006,312,17031809500
7700008,313,17031824005
7700006,314,17031824003
7800031,315,17031811800
7800022,316,17031811000
7800009,317,17031811000
7800011,318,17031811100
7800020,319,17031811200
7800030,320,17031811200
7800021,321,17031811302
7800048,322,17031811301
7800016,323,17031811402
7800015,324,17031811800
7800033,325,17031811301
7800029,326,17031811301
7800043,327,17031811402
7800041,328,17031811301
7800047,329,17031811702
7800035,330,17031811800
7800024,331,17031811702
7800014,332,17031810900
7800013,333,17031810900
7800034,334,17031810702
7800039,335,17031810800
7800036,336,17031810701
7800028,337,17031810701
7800037,338,17031811100
7800038,339,17031770700
7800050,340,17031810800
7800010,341,17031810900
7900026,342,17031820000
7900040,343,17031819900
7900024,344,17031819801
7900039,345,17031819801
7900021,346,17031819801
7900018,347,17031819700
7900016,348,17031819700
7900045,349,17031819300
7900066,350,17031819200
7900001,351,17031819100
7900002,352,17031819300
7900007,353,17031819500
7900019,354,17031819100
7900057,355,17031820400
7900060,356,17031820400
7900065,357,17031820502
7900008,358,17031820502
7900038,359,17031820502
7900056,360,17031820400
7900032,361,17031820501
7900077,362,17031820501
8200018,363,17031806801
8200050,364,17031808400
8200038,365,17031808400
8200059,366,17031808500
8200057,367,17031808500
8200062,368,17031806900
8200037,369,17031807000
8200022,370,17031807000
8200060,371,17031806801
8200023,372,17031806802
8200064,373,17031806801
8200031,374,17031806700
8200028,375,17031806700
8200049,376,17031806700
8200047,377,17031806802
8200019,378,17031807100
8200008,379,17031807100
8200058,380,17031808302
8200043,381,17031808200
8200021,382,17031807100
8200013,383,17031808200
8200053,384,17031808301
9700095,386,17031823604
9700023,388,17031823602
9700089,389,17031823602
9700079,390,17031823602
9700018,391,17031823605
9700051,392,17031823102
9700067,393,17031823101
9700006,394,17031823101
9700083,395,17031823001
9700076,396,17031822400
9700021,397,17031822400
9700026,398,17031822302
9700033,399,17031822302
9700027,400,17031822500
9700046,401,17031822500
9700048,402,17031822102
9700003,403,17031822101
9700036,404,17031822102
9700084,405,17031822802
9700041,406,17031822801
9700080,407,17031821600
9700029,408,17031821600
9700092,409,17031822701
9700093,410,17031822701
7507001,411,17031809100
7506005,412,17031809100
7506003,413,17031808900
7508005,414,17031810200
7506004,415,17031809000
7506002,416,17031808900
7506001,417,17031809000
7502001,418,17031809500
7502002,419,17031809600
7504003,420,17031809400
7507006,421,17031808702
7501001,422,17031808702
7504005,423,17031809700
7506007,424,17031809000
7502004,425,17031809700
7501003,426,17031808800
7507005,427,17031808800
7600010,428,17031804311
7600030,429,17031804403
7600014,430,17031804311
7600041,431,17031804403
7600035,432,17031804404
7600013,433,17031804404
7600027,434,17031804311
7600001,435,17031804507
7600004,436,17031804404
7600029,437,17031804405
7600009,438,17031804506
7600024,439,17031804511
7600012,440,17031804510
7600042,441,17031804507
7600026,442,17031804507
7600020,443,17031804406
7600037,444,17031804305
7600025,445,17031804310
7600006,446,17031804306
7600005,447,17031804310
7600038,448,17031804506
7600036,449,17031804308
7600022,450,17031804305
7600028,451,17031804308
7600011,452,17031804309
7600043,453,17031804308
7600017,454,17031804309
7600018,455,17031804509
7600002,456,17031804310
7600008,457,17031804310
7600016,458,17031804507
7600003,459,17031804406
7600039,460,17031804507
7600032,461,17031804406
7600033,462,17031804305
7600040,463,17031804310
7600031,464,17031804506
7600044,465,17031804505
7600015,466,17031804510
7600034,467,17031804508
7600023,468,17031804505
7600019,469,17031804701
7600007,470,17031804310
7600021,471,17031804310
7700012,472,17031824006
7700001,473,17031824004
7700003,474,17031824004
7700002,475,17031824004
7700014,476,17031824003
7700009,477,17031824006
7700011,478,17031824006
7700013,479,17031824005
7700007,480,17031824005
7700004,481,17031824003
7700010,482,17031824003
7700005,483,17031824004
7800018,484,17031811500
7800002,485,17031811600
7800025,486,17031811600
7800001,487,17031770800
7800026,488,17031811000
7800012,489,17031770700
7800023,490,17031805702
7800042,491,17031770902
7800017,492,17031770800
7800027,493,17031811600
7800045,494,17031770800
7800044,495,17031811600
7800005,496,17031811500
7800032,497,17031811701
7800040,498,17031811701
7800004,499,17031811701
7800046,500,17031811401
7800006,501,17031811401
7800007,502,17031811401
7800008,503,17031811200
7800019,504,17031811100
7800049,505,17031810800
7800003,506,17031810702
7900034,507,17031820606
7900074,508,17031820605
7900049,509,17031820202
7900022,510,17031819100
7900005,511,17031820104
7900037,512,17031819200
7900064,513,17031820202
7900003,514,17031819200
7900014,515,17031819700
7900023,516,17031820606
7900012,517,17031820101
7900017,518,17031820101
7900027,519,17031820000
7900036,520,17031820201
7900063,521,17031820201
7900046,523,17031820201
7900059,524,17031819100
7900067,525,17031819400
7900006,526,17031819400
7900004,527,17031819400
7900009,528,17031819600
7900011,529,17031819600
7900015,530,17031819700
7900020,531,17031819801
7900030,532,17031820202
7900048,533,17031820501
7900035,534,17031820603
7900062,535,17031820201
7900033,536,17031820501
7900075,537,17031820501
7900058,538,17031820605
7900071,539,17031820603
7900029,540,17031820603
7900051,541,17031820604
7900078,542,17031820201
7900076,544,17031820202
7900052,545,17031820201
7900044,546,17031819802
7900055,547,17031819900
7900069,548,17031819802
7900010,549,17031820103
7900050,550,17031819600
7900072,551,17031819600
7900068,552,17031820104
7900047,553,17031820103
7900043,554,17031819700
7900025,555,17031820103
7900054,556,17031820104
7900042,557,17031820101
7900028,558,17031820101
7900031,559,17031820101
7900073,560,17031820101
7900061,561,17031820101
7900070,562,17031820605
7900013,563,17031820605
8000030,564,17031805502
8000020,565,17031805802
8000047,566,17031806502
8000008,567,17031770602
8000041,568,17031806600
8000037,569,17031805701
8000087,570,17031805802
8000036,571,17031805802
8000050,572,17031805802
8000067,573,17031805801
8000065,574,17031805801
8000058,575,17031805902
8000039,576,17031805402
8000055,577,17031805402
8000029,578,17031805501
8000043,579,17031805502
8000083,580,17031805902
8000075,581,17031805402
8000046,582,17031805401
8000032,583,17031805402
8000024,584,17031805600
8000025,585,17031805600
8000085,586,17031805901
8000060,587,17031805902
8000082,588,17031805901
8000054,589,17031805600
8000027,590,17031805600
8000072,591,17031805401
8000088,592,17031805501
8000022,593,17031805802
8000042,594,17031805701
8000005,595,17031806001
8000076,596,17031805202
8000004,597,17031806103
8000052,598,17031805202
8000019,599,17031806103
8000038,600,17031806102
8000009,601,17031806201
8000010,602,17031806202
8000061,603,17031806300
8000035,604,17031806102
8000044,605,17031805202
8000071,606,17031805302
8000063,607,17031805302
8000062,608,17031805302
8000028,609,17031806002
8000081,610,17031806004
8000040,611,17031805302
8000086,612,17031806104
8000089,613,17031806004
8000033,614,17031806003
8000092,615,17031806002
8000084,616,17031806004
8000015,617,17031805301
8000077,618,17031806103
8000070,619,17031805901
8000090,620,17031805301
8000051,621,17031806004
8000014,622,17031806202
8000074,623,17031805201
8000045,624,17031806002
8000079,625,17031806501
8000003,626,17031806102
8000091,627,17031805802
8000034,628,17031806201
8000021,629,17031805701
8000006,630,17031806300
8000064,631,17031806103
8000048,632,17031806300
8000017,633,17031806400
8000068,634,17031770601
8000007,635,17031770601
8000016,636,17031806400
8000053,637,17031806502
8000018,638,17031806502
8000049,639,17031806600
8000080,640,17031805701
8000023,641,17031806104
8000001,642,17031806004
8000073,643,17031806004
8000013,644,17031805901
8000002,645,17031806001
8000078,646,17031806001
8000057,647,17031806003
8000069,648,17031805201
8000031,649,17031805201
8000012,650,17031805901
8000066,651,17031770602
8000056,652,17031770602
8000059,653,17031805402
8000026,654,17031806202
8000011,655,17031806202
8100002,656,17031800200
8100005,657,17031800200
8100004,658,17031800200
8100038,659,17031801300
8100039,660,17031801400
8100032,661,17031801100
8100015,662,17031800700
8100033,663,17031801100
8100034,664,17031800900
8100013,665,17031801400
8100041,666,17031800500
8100003,667,17031801000
8100014,668,17031800500
8100027,669,17031801100
8100010,671,17031800300
8100012,672,17031800500
8100019,673,17031800800
8100020,674,17031800800
8100030,675,17031801200
8100018,676,17031801200
8100031,677,17031801300
8100036,678,17031801300
8100028,679,17031801000
8100024,680,17031800900
8100017,681,17031801000
8100026,682,17031800900
8100029,683,17031800700
8100040,684,17031800700
8100025,685,17031800700
8100022,686,17031800700
8100008,687,17031800400
8100021,688,17031801000
8100001,690,17031800100
8100037,691,17031801300
8100035,692,17031801200
8100023,693,17031800600
8100016,694,17031800400
8100009,695,17031800400
8100007,696,17031800100
8200003,697,17031808600
8200011,698,17031808600
8200007,699,17031806900
8200054,700,17031808301
8200035,701,17031808302
8200010,702,17031808301
8200016,703,17031807300
8200027,704,17031807300
8200048,705,17031806802
8200041,706,17031807300
8200039,707,17031807300
8200015,708,17031807700
8200045,709,17031807200
8200024,710,17031807400
8200017,711,17031807400
8200063,712,17031807500
8200014,713,17031807200
8200036,714,17031807200
8200044,715,17031807500
8200033,716,17031807200
8200012,717,17031807600
8200009,718,17031808100
8200001,719,17031808100
8200002,720,17031808100
8200020,721,17031807700
8200034,722,17031807700
8200026,723,17031807800
8200040,724,17031807800
8200006,725,17031807900
8200056,726,17031807900
8200055,727,17031807400
8200061,728,17031807600
8200025,729,17031807600
8200046,730,17031808001
8200042,731,17031807600
8200030,732,17031808001
8200052,733,17031808001
8200051,734,17031808002
8200004,735,17031808002
8200005,736,17031808002
8200029,737,17031808002
8200032,738,17031806900
8300054,739,17031801601
8300045,740,17031801500
8300028,741,17031801800
8300058,742,17031801601
8300055,743,17031801500
8300047,744,17031801601
8300040,745,17031801500
8300003,746,17031801601
8300015,747,17031801500
8300043,748,17031801608
8300037,749,17031801800
8300009,750,17031801800
8300056,751,17031801901
8300039,752,17031801603
8300053,753,17031802300
8300032,754,17031801605
8300011,755,17031801606
8300029,756,17031801702
8300026,757,17031801500
8300034,758,17031801608
8300041,759,17031801608
8300048,760,17031801608
8300038,761,17031802002
8300010,762,17031802002
8300006,763,17031802200
8300044,764,17031802002
8300012,765,17031802200
8300024,766,17031802100
8300030,767,17031802100
8300021,768,17031802002
8300019,769,17031802200
8300031,770,17031801902
8300023,771,17031801800
8300008,772,17031801800
8300020,773,17031801608
8300014,774,17031801702
8300049,775,17031801606
8300050,776,17031801606
8300016,777,17031801605
8300022,778,17031801605
8300033,779,17031801607
8300046,780,17031801702
8300002,781,17031801701
8300057,782,17031801607
8300059,783,17031801607
8300027,784,17031801603
8300061,785,17031801607
8300013,786,17031801607
8300036,787,17031801606
8300060,788,17031801606
8300017,789,17031801605
8300018,790,17031801701
8300042,791,17031801901
8300052,792,17031801901
8300004,793,17031802004
8300001,794,17031802004
8300062,795,17031801701
8300025,796,17031802003
8300051,797,17031802300
8300007,798,17031802300
8300005,799,17031802003
8300035,800,17031801902
8400011,801,17031810400
8400013,802,17031810501
8400006,803,17031810501
8400009,804,17031810501
8400002,805,17031810501
8400005,806,17031770901
8400008,807,17031810501
8400017,808,17031770901
8400004,809,17031810502
8400016,810,17031810502
8400015,811,17031810600
8400007,812,17031770902
8400014,813,17031810400
8400003,814,17031810400
8400010,815,17031100500
8400001,816,17031810600
8400012,817,17031810502
8500032,818,17031812600
8500004,819,17031812200
8500002,820,17031812200
8500001,821,17031812100
8500007,822,17031812200
8500005,823,17031812302
